compare,target,time
h8_UW_rep1-h8_UW_rep2_vs_ce313_ce314,ttx-3-celegans,480
h8_UW_rep1-h8_UW_rep2_vs_ce347_ce348,ttx-3-celegans,450
h6_UW_rep1-h6_UW_rep2_vs_ce20_ce21,ces-1-celegans,350
h6_UW_rep1-h6_UW_rep2_vs_ce46_ce47,ces-1-celegans,380
h6_UW_rep1-h6_UW_rep2_vs_ce212_ce213,ceh-30-celegans,350
h6_UW_rep1-h6_UW_rep2_vs_ce214_ce215,ceh-30-celegans,350
h6_UW_rep1-h6_UW_rep2_vs_ce216_ce217,ceh-30-celegans,350
h6_UW_rep1-h6_UW_rep2_vs_ce218_ce219,ceh-30-celegans,380
h6_UW_rep1-h6_UW_rep2_vs_ce220_ce221,ceh-30-celegans,380
h6_UW_rep1-h6_UW_rep2_vs_ce286_ce287,ham-2-celegans,300
h6_UW_rep1-h6_UW_rep2_vs_ce413_ce414,ham-2-celegans,330
h4_UW_rep1-h4_UW_rep2_vs_ce78_ce79,tbx-7-celegans,250
ctrl7-ctrl8_vs_ce8_ce9,ceh-31-celegans,490
ctrl7-ctrl8_vs_ce54_ce55,dve-1-celegans,490
ctrl7-ctrl8_vs_ce60_ce61,dve-1-celegans,520
ctrl7-ctrl8_vs_ce68_ce69,blmp-1-celegans,520
ctrl7-ctrl8_vs_ce70_ce71,tbx-7-celegans,490
ctrl7-ctrl8_vs_ce72_ce73,tbx-7-celegans,520
ctrl7-ctrl8_vs_ce87_ce88,blmp-1-celegans,490
ctrl7-ctrl8_vs_ce97_ce98,ceh-31-celegans,520
ctrl7-ctrl8_vs_ce110_ce111,rnt-1-celegans,520
ctrl7-ctrl8_vs_ce160_ce161,rnt-1-celegans,490
ctrl7-ctrl8_vs_ce162_ce163,rnt-1-celegans,490
ctrl7-ctrl8_vs_ce164_ce165,rnt-1-celegans,490
ctrl7-ctrl8_vs_ce181_ce182,ceh-30-celegans,490
ctrl7-ctrl8_vs_ce246_ce247,lin-11-celegans,490
ctrl7-ctrl8_vs_ce248_ce249,fkh-6-celegans,520
ctrl7-ctrl8_vs_ce250_ce251,fkh-6-celegans,520
ctrl7-ctrl8_vs_ce269_ce270,ceh-24-celegans,520
ctrl7-ctrl8_vs_ce271_ce272,ceh-24-celegans,520
ctrl7-ctrl8_vs_ce329_ce330,ceh-24-celegans,490
ctrl7-ctrl8_vs_ce332_ce333,lin-11-celegans,520
ctrl7-ctrl8_vs_ce383_ce384,fkh-6-celegans,490
ctrl7-ctrl8_vs_ce385_ce386,fkh-6-celegans,490
ctrl5-ctrl6_vs_ce56_ce57,ceh-18-celegans,880
ctrl5-ctrl6_vs_ce141_ce142,fkh-10-celegans,880
ctrl5-ctrl6_vs_ce155_ce156,elt-4-celegans,880
ctrl5-ctrl6_vs_ce273_ce274,mec-3-celegans,880
ctrl5-ctrl6_vs_ce275_ce276,mec-3-celegans,880
ctrl5-ctrl6_vs_ce354_ce355,zip-5-celegans,880
ctrl5-ctrl6_vs_ce363_ce364,lim-6-celegans,880
ctrl5-ctrl6_vs_ce399_ce400,ceh-9-celegans,880
ctrl32-ctrl33_vs_ce15_ce16,elt-4-celegans,650
ctrl32-ctrl33_vs_ce25_ce26,ceh-18-celegans,650
ctrl32-ctrl33_vs_ce27_ce28,ceh-18-celegans,650
ctrl32-ctrl33_vs_ce50_ce51,ceh-31-celegans,650
ctrl32-ctrl33_vs_ce74_ce75,blmp-1-celegans,650
ctrl32-ctrl33_vs_ce83_ce84,ces-1-celegans,650
ctrl32-ctrl33_vs_ce85_ce86,ces-1-celegans,650
ctrl32-ctrl33_vs_ce103_ce104,dve-1-celegans,650
ctrl32-ctrl33_vs_ce123_ce124,ceh-14-celegans,650
ctrl32-ctrl33_vs_ce139_ce140,fkh-10-celegans,650
ctrl32-ctrl33_vs_ce188_ce189,rnt-1-celegans,650
ctrl32-ctrl33_vs_ce195_ce196,fax-1-celegans,650
ctrl32-ctrl33_vs_ce201_ce202,mab-5-celegans,650
ctrl32-ctrl33_vs_ce204_ce205,mec-3-celegans,650
ctrl32-ctrl33_vs_ce206_ce207,mec-3-celegans,650
ctrl32-ctrl33_vs_ce232_ce233,lin-11-celegans,650
ctrl32-ctrl33_vs_ce242_ce243,unc-3-celegans,650
ctrl32-ctrl33_vs_ce260_ce261,ceh-2-celegans,650
ctrl32-ctrl33_vs_ce266_ce267,hlh-15-celegans,650
ctrl32-ctrl33_vs_ce282_ce283,ham-2-celegans,650
ctrl32-ctrl33_vs_ce311_ce312,ttx-3-celegans,650
ctrl32-ctrl33_vs_ce336_ce337,ceh-24-celegans,650
ctrl32-ctrl33_vs_ce343_ce344,zip-5-celegans,650
ctrl32-ctrl33_vs_ce367_ce368,fkh-6-celegans,650
ctrl32-ctrl33_vs_ce369_ce370,fkh-6-celegans,650
ctrl32-ctrl33_vs_ce371_ce372,lim-6-celegans,650
ctrl32-ctrl33_vs_ce379_ce380,unc-42-celegans,650
ctrl32-ctrl33_vs_ce404_ce405,unc-86-celegans,650
ctrl32-ctrl33_vs_ce406_ce407,unc-86-celegans,650
ctrl30-ctrl31_vs_ce10_ce11,dve-1-celegans,680
ctrl30-ctrl31_vs_ce17_ce18,elt-4-celegans,680
ctrl30-ctrl31_vs_ce36_ce37,ceh-14-celegans,680
ctrl30-ctrl31_vs_ce76_ce77,blmp-1-celegans,680
ctrl30-ctrl31_vs_ce95_ce96,ces-1-celegans,680
ctrl30-ctrl31_vs_ce99_ce100,ceh-31-celegans,680
ctrl30-ctrl31_vs_ce107_ce108,mab-5-celegans,680
ctrl30-ctrl31_vs_ce115_ce116,ceh-18-celegans,680
ctrl30-ctrl31_vs_ce117_ce118,ceh-18-celegans,680
ctrl30-ctrl31_vs_ce136_ce137,mec-3-celegans,680
ctrl30-ctrl31_vs_ce145_ce146,fkh-10-celegans,680
ctrl30-ctrl31_vs_ce167_ce168,rnt-1-celegans,680
ctrl30-ctrl31_vs_ce198_ce199,fax-1-celegans,680
ctrl30-ctrl31_vs_ce234_ce235,ceh-24-celegans,680
ctrl30-ctrl31_vs_ce236_ce237,ttx-3-celegans,680
ctrl30-ctrl31_vs_ce280_ce281,ceh-2-celegans,680
ctrl30-ctrl31_vs_ce306_ce307,unc-86-celegans,680
ctrl30-ctrl31_vs_ce308_ce309,unc-86-celegans,680
ctrl30-ctrl31_vs_ce322_ce323,hlh-15-celegans,680
ctrl30-ctrl31_vs_ce334_ce335,zip-5-celegans,680
ctrl30-ctrl31_vs_ce345_ce346,lin-11-celegans,680
ctrl30-ctrl31_vs_ce391_ce392,unc-3-celegans,680
ctrl30-ctrl31_vs_ce397_ce398,ceh-9-celegans,680
ctrl30-ctrl31_vs_ce420_ce421,unc-42-celegans,680
ctrl30-ctrl31_vs_ce423_ce424,lim-6-celegans,680
ctrl30-ctrl31_vs_ce425_ce426,fkh-6-celegans,680
ctrl30-ctrl31_vs_ce427_ce428,fkh-6-celegans,680
ctrl23-ctrl24_vs_ce4_ce5,fax-1-celegans,550
ctrl23-ctrl24_vs_ce6_ce7,fax-1-celegans,580
ctrl23-ctrl24_vs_ce34_ce35,ceh-14-celegans,580
ctrl23-ctrl24_vs_ce48_ce49,ceh-14-celegans,550
ctrl23-ctrl24_vs_ce257_ce258,hlh-15-celegans,580
ctrl23-ctrl24_vs_ce301_ce302,hlh-15-celegans,550
ctrl23-ctrl24_vs_ce349_ce350,unc-3-celegans,550
ctrl23-ctrl24_vs_ce365_ce366,unc-42-celegans,580
ctrl23-ctrl24_vs_ce430_ce431,unc-42-celegans,550
ctrl23-ctrl24_vs_ce437_ce438,unc-3-celegans,580
ctrl1-ctrl2_vs_ce22_ce23,elt-4-celegans,850
ctrl1-ctrl2_vs_ce40_ce41,ceh-18-celegans,850
ctrl1-ctrl2_vs_ce42_ce43,ceh-18-celegans,850
ctrl1-ctrl2_vs_ce105_ce106,fkh-10-celegans,850
ctrl1-ctrl2_vs_ce125_ce126,mec-3-celegans,850
ctrl1-ctrl2_vs_ce295_ce296,ceh-9-celegans,850
ctrl1-ctrl2_vs_ce304_ce305,lim-6-celegans,850
