id,read1,read2,match,target,time
ce401,ENCFF311KVR,ENCFF879DXI,ENCFF311KVR_ENCFF879DXI,ceh-9-celegans,880
ce402,ENCFF087JBJ,ENCFF781ORK,ENCFF087JBJ_ENCFF781ORK,ceh-24-celegans,80
ce403,ENCFF596OLB,ENCFF003ZXU,ENCFF596OLB_ENCFF003ZXU,ceh-24-celegans,80
ce404,ENCFF590KKH,ENCFF024HNO,ENCFF590KKH_ENCFF024HNO,unc-86-celegans,650
ce405,ENCFF135JYW,ENCFF324DNI,ENCFF135JYW_ENCFF324DNI,unc-86-celegans,650
ce406,ENCFF487JJF,ENCFF872JOW,ENCFF487JJF_ENCFF872JOW,unc-86-celegans,650
ce407,ENCFF815LZW,ENCFF675SHH,ENCFF815LZW_ENCFF675SHH,unc-86-celegans,650
ce408,ENCFF375HYF,ENCFF432LRC,ENCFF375HYF_ENCFF432LRC,unc-86-celegans,650
ce409,ENCFF904UAC,ENCFF065AUI,ENCFF904UAC_ENCFF065AUI,unc-42-celegans,50
ce410,ENCFF692SPZ,ENCFF476PGW,ENCFF692SPZ_ENCFF476PGW,unc-42-celegans,50
ce411,ENCFF493FYW,ENCFF657CCT,ENCFF493FYW_ENCFF657CCT,ham-2-celegans,50
ce412,ENCFF691HCS,ENCFF431BZA,ENCFF691HCS_ENCFF431BZA,ham-2-celegans,50
ce413,ENCFF641IMM,ENCFF963WJV,ENCFF641IMM_ENCFF963WJV,ham-2-celegans,330
ce414,ENCFF768YXW,ENCFF025RXM,ENCFF768YXW_ENCFF025RXM,ham-2-celegans,330
ce415,ENCFF034CGP,ENCFF411GUG,ENCFF034CGP_ENCFF411GUG,unc-86-celegans,80
ce416,ENCFF433WQX,ENCFF345IZR,ENCFF433WQX_ENCFF345IZR,unc-86-celegans,80
ce417,ENCFF022LWU,ENCFF526TOV,ENCFF022LWU_ENCFF526TOV,unc-86-celegans,80
ce418,ENCFF894YYC,ENCFF061HWJ,ENCFF894YYC_ENCFF061HWJ,unc-86-celegans,80
ce419,ENCFF263ZLP,ENCFF562XVY,ENCFF263ZLP_ENCFF562XVY,unc-86-celegans,80
ce420,ENCFF938HDB,ENCFF408CZK,ENCFF938HDB_ENCFF408CZK,unc-42-celegans,680
ce421,ENCFF446YCA,ENCFF144CQZ,ENCFF446YCA_ENCFF144CQZ,unc-42-celegans,680
ce422,ENCFF370XBS,ENCFF400BRI,ENCFF370XBS_ENCFF400BRI,unc-42-celegans,680
ce423,ENCFF317HRB,ENCFF079UOC,ENCFF317HRB_ENCFF079UOC,lim-6-celegans,680
ce424,ENCFF130VZF,ENCFF140WGT,ENCFF130VZF_ENCFF140WGT,lim-6-celegans,680
ce425,ENCFF576MWA,ENCFF266NVM,ENCFF576MWA_ENCFF266NVM,fkh-6-celegans,680
ce426,ENCFF878SAB,ENCFF420TCY,ENCFF878SAB_ENCFF420TCY,fkh-6-celegans,680
ce427,ENCFF660SEQ,ENCFF964OLP,ENCFF660SEQ_ENCFF964OLP,fkh-6-celegans,680
ce428,ENCFF562VPS,ENCFF752QDM,ENCFF562VPS_ENCFF752QDM,fkh-6-celegans,680
ce429,ENCFF743TVS,ENCFF130DCT,ENCFF743TVS_ENCFF130DCT,fkh-6-celegans,680
ce430,ENCFF050DMR,ENCFF905YWH,ENCFF050DMR_ENCFF905YWH,unc-42-celegans,550
ce431,ENCFF351YHV,ENCFF736GTF,ENCFF351YHV_ENCFF736GTF,unc-42-celegans,550
ce432,ENCFF107WMD,ENCFF365JLY,ENCFF107WMD_ENCFF365JLY,zip-5-celegans,80
ce433,ENCFF571LFX,ENCFF142SUC,ENCFF571LFX_ENCFF142SUC,zip-5-celegans,80
ce434,ENCFF838FKN,ENCFF444ETL,ENCFF838FKN_ENCFF444ETL,sox-4-celegans,850
ce435,ENCFF269CVS,ENCFF991VCM,ENCFF269CVS_ENCFF991VCM,unc-3-celegans,50
ce436,ENCFF981AIP,ENCFF891TZO,ENCFF981AIP_ENCFF891TZO,unc-3-celegans,50
ce437,ENCFF485QCP,ENCFF734AQC,ENCFF485QCP_ENCFF734AQC,unc-3-celegans,580
ce438,ENCFF444MDK,ENCFF660ZBS,ENCFF444MDK_ENCFF660ZBS,unc-3-celegans,580
ce439,ENCFF018LVO,ENCFF373BPP,ENCFF018LVO_ENCFF373BPP,unc-3-celegans,580
